Disease Name,Pet affected,Related Diseases,Symptoms,Predisposed Breeds,Risk Factors,Diagnosis Method,Cause,General Treatment,Medical Treatment, Surgical Treatment,Average Hospital Stay,Preventative Measures,Prognosis,
Mushroom Poisoning in Dogs and Cats,Dogs and Cats,Not Known,"Vomiting, diarrhea, depression, excitation, abdominal pain, excessive salivation, muscle tremors, seizures, coma",Not Known,"Ingestion of toxic mushrooms, access to wild mushrooms, recreational drug mushrooms","Symptomatic, identification of the mushroom species (if possible), examination of vomit and feces for spores",Ingestion of mushrooms containing different toxins,"Decontamination (inducing vomiting, activated charcoal), supportive care (IV fluids, oxygen, medications for symptoms)","Specific treatments based on the type of toxin ingested (e.g., liver support medications for cyclic peptides, atropine for muscarinic mushrooms)",Not Known,Not Known,"Monitoring and restricting access to mushrooms, keeping pets on a leash to prevent ingestion of unknown substances","Depends on the type of mushroom ingested, amount consumed, pet's health, and quickness of treatment",
"Muzzle Folliculitis and Furunculosis (Chin Acne, Muzzle Acne) in Dogs",Dog,"Pyoderma, Malassezia infection, Demodicosis, Ringworm","Bumps and redness under the chin and on the lips, possible skin irritation, inflammation, and infection",Young Dogs of short-coated breeds,"Physical trauma to chin and lips area, such as playing or rubbing","Microscopic examination of skin samples, skin culture (for bacterial infection), examination for yeast, parasites, and fungi","Breaking of hairs pushed beneath the skin surface leading to irritation, inflammation, and infection",Topical or oral medications for skin infection and inflammation,"Antibiotics for bacterial infection, medications for yeast infection, parasite control, anti-fungal for ringworm",Not Known,Not Known,Minimizing physical trauma to chin and lips,Depends on severity and response to treatment,
Myasthenia Gravis in Dogs and Cats,Dogs and Cats,Not Known,"Muscle weakness affecting eyes, facial expression, throat/esophagus, limbs, early exercise fatigue, megaesophagus, voice change, laryngeal paralysis, difficulty swallowing","Jack Russell terriers, Springer Spaniels, Smooth Fox Terriers (congenital form), Miniature Dachshund (congenital form that resolves with age)","Autoimmune reaction, congenital genetic disease","AChR blood test, Tensilon test, tissue biopsy (historically), chest radiographs for thymoma or megaesophagus, aspiration pneumonia","Disruption of nerve-muscle communication, autoimmune destruction of neuromuscular junctions, genetic in congenital cases","Anticholinesterases, immune-suppression, supportive care for megaesophagus","Pyridostigmine, neostigmine bromide, corticosteroids (e.g., prednisone), azathioprine, cyclosporine, cyclophosphamide",Thymectomy if thymoma is present,Not Known,Avoidance of triggers like certain medications in susceptible individuals,"Good if treated early, most Dogs spontaneously cure, cats tend to require indefinite therapy",
Nasal Squamous Cell Carcinoma in Cats,Cat,Not Known,"Small scabby area on the nose or ear tips that does not heal, gets larger over time",White-furred cats,Sun exposure,"Physical examination, possibly biopsy for definitive diagnosis",Sun exposure,"Surgery if early stage, cryotherapy, radiotherapy, Imiquimod 5% creme, cyclooxygenase inhibitors","Imiquimod 5% creme, cyclooxygenase inhibitors (e.g., piroxicam, meloxicam, robenacoxib)","Surgical removal with wide margin, cryotherapy, laser surgery for facial areas",Not Known,"Limiting sun exposure, especially for cats with white fur",Good if detected early and removed or irradiated promptly; difficult to address if not caught early,
Neuropathic Pain in Dogs and Cats,Dogs and Cats,"Diabetes mellitus, Intervertebral disk herniation, Spinal cord or nerve sheath tumors, Cervical malformation, Syringomyelia","Abnormal scratching, incessant licking, attacking their back, lameness or abnormal gait, hyperesthesia, possible 'pins and needles' sensation, tingling, burning, itching, numbness",King Charles Cavalier Spaniels (for syringomyelia related neuropathic pain),"Nerve, spinal cord, or brain injuries or diseases","Exclusion of other painful conditions, neurological examination, laboratory tests, radiographs, CT/MRI imaging, electrophysiologic testing","Injury to or disease of the nerves, spinal cord, or parts of the brain involved in pain perception","Early treatment in conditions expected to be painful, combination drug therapy","Gabapentin, pregabalin, dextromethorphan, amantadine, amitriptyline, minocycline, tramadol, codeine, NSAIDs (e.g., carprofen, deracoxib, firocoxib), local anesthetics (e.g., lidocaine), alpha-2 agonists (e.g., medetomidine)",Not Known,Not Known,Not Known,Depends on the underlying cause and effectiveness of treatment. Important to manage with a veterinarian for best outcomes.,
Oral Squamous Cell Carcinoma in Dogs and Cats,Dogs and Cats,Not Known,"Drooling (with or without blood), difficulty eating, halitosis, trouble swallowing, coughing, weight loss",No breed predisposition,Middle-aged to older pets,"Radiographs of the local site and lungs, CT scans, biomarker assessment, biopsies, fine needle aspirate",Not Known,"Surgery, radiation therapy, chemotherapy, electromagnetic thermoablation, supportive therapy","Pain medications, antibiotics for secondary infections, zoledronate or pamidronate in cats for bone destruction and pain","Removal of entire tumor and affected bone, partial removal of jaw or tongue, palliative mass reduction for comfort",Not Known,Not Known,"Dogs: Good with surgery for mandibular SCC, poorer for maxillary and tonsil SCC. Cats: Generally poor, better for rostral tumors, most die of uncontrolled local disease or metastasis",
Osteochondritis Dissecans (OCD) in Dogs,Dog,Not Known,"Stiffness and soreness when rising or after heavy play, lameness, avoidance of weight bearing on painful leg, possible swelling and warmth of affected joint","Great Danes, Bernese Mountain Dogs, Golden Retrievers, German Shepherds, Newfoundlands","Rapid growth in large breed puppies, genetics, diet high in calcium or vitamin D, injury, lack of blood flow, hormonal issues","Orthopedic examination, imaging (radiographs, CT scan, arthroscopy)","Not Known, suspected hereditary component, dietary factors, injury, lack of blood flow, hormonal issues","Exercise restriction, dietary changes, formal rehabilitation therapy for Dogs under 6 months with minimal signs",Pain medications,"Removal of cartilage flap, stimulation of underlying bone to form fibrocartilage, insertion of artificial plug for large lesions",Not Known,"Avoid rapid growth through diet, avoid supplements in puppies, maintain a healthy weight","Good for shoulder involvement, more guarded for other joints due to possible progression of arthritis and intermittent lameness",
Osteosarcoma,Dogs,Not Specific,"Lameness, swelling, pain in the affected limb, pathologic fractures","Larger breeds, middle aged or elderly Dogs, but can occur at any age","Primarily affects leg bones of larger breeds, can develop in any bone","Radiographs, biopsy or needle aspirate for tissue sampling, staging with chest radiographs for tumor spread","Most common bone tumor in Dogs, grows within the bone and destroys it from inside out","Pain management, fighting cancer spread with chemotherapy","Chemotherapy (Cisplatin, Carboplatin, Doxorubicin), Bisphosphonates for pain management","Amputating the limb, limb-sparing surgery, or palliative radiotherapy",Varies based on treatment choice and complications,Not applicable,"Varies; amputation provides immediate pain relief, chemotherapy can extend quality life, some neurologic signs may be permanent",
Otitis Media,Dogs and Cats,"Otitis Externa, Primary Secretory Otitis Media (PSOM)","Head tilt, lack of balance, nystagmus, facial nerve paralysis, head/neck pain, ataxia, facial nerve signs, Horner syndrome","Beagles, Basset Hounds, Cavalier King Charles Spaniel","Existing otitis externa, infections in the nose and throat, trauma, foreign bodies, fungal infections, inflammatory polyps, cancer, developmental abnormalities","Physical examination, otoscopy, bacterial/fungal culture, radiography, CT, MRI","Inflammation/infection of the middle ear, often developing from otitis externa","Cleaning of the external and middle ear canals, ear flushing, infusion of the ear with medication","Topical medications, systemic therapy with antibiotics, antifungals, corticosteroids",Ear canal ablation in severe cases,Varies based on treatment approach and severity,"Keeping the pet's ears clean, monitoring for signs of infection",Generally good with appropriate therapy; some neurologic signs may be permanent,
Ovarian Remnant Syndrome,Dogs and Cats,"Mammary Cancer, Stump Pyometra","Signs of an active heat cycle in a spayed female pet: vaginal discharge, flirting with males, vocalization, restlessness, urination in the house",Not Specific,"Spayed female pet displaying signs of heat, possible exposure to estrogen creams","Vaginal smear, blood testing for estradiol or progesterone, Witness LH test, SpayChek® test for anti-mullerian hormone","Piece of ovary left inside after spaying, accessory ovarian tissue, or secondary growth of ovarian cells",Surgical removal of the ovarian remnant or tissue,Not applicable,Exploratory surgery to locate and remove the ovarian tissue,Varies; depends on the complexity of the surgery,"Careful surgical technique during spaying, though some cases are due to accessory ovarian tissue not related to surgical error","Good following successful removal of the ovarian tissue; untreated, long-term exposure to hormones can lead to serious health issues",
Pancreatitis,Dogs,"Diabetes Mellitus, Weber-Christian Syndrome, DIC (Disseminated Intravascular Coagulation)","Appetite loss, vomiting, diarrhea, painful abdomen, fever","Miniature Schnauzers (due to altered fat metabolism), obese Dogs, any breed can be affected","Sudden high-fat meal, obesity, certain medications (e.g., sulfa antibiotics, chemotherapy agents), trauma, hormonal imbalances (e.g., Diabetes mellitus, hypothyroidism, hypercalcemia)","PLI test, SPEC cPL test, DGGR Lipase Assay, ultrasound, sometimes surgical exploration","Premature activation of digestive enzymes within the pancreas, leading to self-digestion and inflammation","Aggressive rehydration with IV fluids, pain relief, anti-nausea medications, plasma transfusion (controversial), dietary management with low-fat diet","Anti-inflammatory pain relievers, antibiotics (for secondary infections), plasma transfusions, Panoquell-CA1® for severe acute cases",Not applicable,Commonly a week for aggressive rehydration and monitoring,"Avoid high-fat meals, maintain healthy weight, manage risk factors for predisposed breeds","Varies; can be managed with treatment, may recur, chronic cases need long-term management",
Pannus,Dogs,"Nictitans Plasmacytic Conjunctivitis, Plasmoma","Pinkish film spreading across the cornea, cornea becomes opaque and possibly pigmented, Dogs and Cats eyes affected","German Shepherd, GSD-mix, Greyhound, Rottweiler, Belgian Shepherd, Belgian Tervuren","Ages 4 to 7 years, higher risk at high altitudes, possible genetic predisposition, exposure to ultraviolet light",Eye examination,"Immune-mediated response, possibly due to ultraviolet light exposure or other irritants","Eye drops and/or ointments, treatment aims to halt progression and achieve remission","Corticosteroids, cyclosporine, tacrolimus; subconjunctival injection of corticosteroids in severe cases",Not applicable,Not Known,"Periodic eye exams to monitor for flare-ups, especially in Dogs living at high altitudes",Good for mild to moderate cases or Dogs living at low altitudes; careful monitoring required for flare-ups,
Panosteitis,Dogs,"Hypertrophic Osteodystrophy, Osteochondrosis Dissecans","Long bone lameness that can shift from one leg to another, fever, painful episodes","German Shepherd, Golden Retriever, Basset Hound, Doberman Pinscher, Labrador Retriever","Adolescent age (5 to 18 months), large breed Dogs, possibly high-protein diets","Clinical presentation, radiographs showing characteristic cloudiness in bone marrow cavities","Replacement of fatty marrow with fibrous tissue and then woven bone; exact cause unclear, possible high-protein diet or genetic predisposition",Pain relief with anti-inflammatory pain relievers; condition resolves as the Dog matures,"Anti-inflammatory pain relievers, adjunctive therapy",Not applicable,Not Known,"Avoid over-supplementation, use appropriate large-breed puppy food",Good; condition typically resolves with maturity,
Paraphimosis and Phimosis,Dogs and Cats,Not Known,"Inability to retract the penis (Paraphimosis) or extend the penis from the sheath (Phimosis), licking of the genital area, inflammation, urine dribbling, bloody discharge","Bouvier des Flandres, German Shepherd, Golden Retriever, Labrador Retriever, more common in long-haired cats","Congenital narrow sheath, injury, disease, infection, trauma, weakened muscles, medical procedures, cancer, mating or masturbation problems","Medical history, visual inspection, urinalysis, biopsy of affected tissues","Congenital issues, injury, infection, foreign objects, hair entanglement, excess blood in the tissue, cancer","Cleaning, lubricating the penis, trimming hair, medicating infection, decreasing swelling, managing pain, cold water compresses or sugar dressings","Sedation or general anesthesia, antibiotics for infection","Surgical widening of the sheath opening, debridement of dead tissue, amputation in severe cases",Not Known,"Keep genital area clean, clip area to prevent hair matting, keep intact males away from females in heat",Depends on severity; can be managed or corrected with prompt and appropriate treatment,
Parvovirus,Dogs,Not Known,"Vomiting, diarrhea (possibly bloody), lethargy, loss of appetite, fever or low body temperature","More common in puppies and adolescent Dogs, certain breeds like Rottweiler, Doberman Pinscher, American Pit Bull Terrier may have increased susceptibility","Lack of vaccination, exposure to contaminated environments, young age","Fecal Parvo ELISA test, PCR testing, antibody titers, drop in white blood cell count","Canine parvovirus infection affecting rapidly dividing cells like intestinal cells, bone marrow cells",Supportive care including hydration and maintenance of electrolyte balance,"Antibiotics for secondary infections, antiemetics for nausea, gastroprotectants for ulcer prevention",Not applicable,5 to 7 days for severe cases,"Vaccination, environmental disinfection, isolation from infected Dogs","With proper treatment, survival rates approach 80%. Puppies may have lifelong immunity after recovery.",
Patellar Luxation,Dogs,Degenerative Joint Disease,"Transient lameness, pain, decreased mobility","Affenpinscher, Brussels Griffon, Chihuahua, English Toy Spaniel, Greyhound, Japanese Spaniel, Maltese, Manchester Terrier, Miniature Pinscher, Papillon, Pekingese, Pomeranian, Poodle, Pug, Shih Tzu, Silky Terrier, Yorkshire Terrier","Genetic predisposition, abnormal femur shape, displacement of quadriceps tendon","Clinical examination, severity grading","Abnormal shape of the femur's distal end, displacement of the quadriceps tendon","Exercise restriction, weight reduction","NSAIDs, polysulfated glycosaminoglycans, glucosamine/chondroitin sulfate (Cosequin)",Indicated in severe cases and may benefit mild cases,Not Known,Not Known,Depends on the severity; can be managed with treatment,
Patent Ductus Arteriosus,Dogs and Cats,Not Known,"Short of breath, exercise intolerance, failure to thrive, exercise-induced collapse, continuous murmur","Labrador Retrievers, Pomeranians, Maltese, Shetland SheepDog, English Springer Spaniel, American Cocker Spaniel, Keeshonden, Bichon Frise, German Shepherd Dog, Collie, Irish Setter, Kerry Blue Terrier, Newfoundland, Miniature and Toy Poodle, Chihuahua, Yorkshire Terrier","Congenital heart defect, more common in female purebred Dogs","Listening for murmur, chest radiographs, echocardiography","Failure of the ductus arteriosus to close after birth, leading to abnormal blood flow between the aorta and pulmonary artery","Depends on the size of the PDA; small PDAs may require no treatment, large PDAs require intervention","Control of heart failure with medication before surgery, blood-letting or drugs for polycythemia in reverse PDA cases","Ligation, endovascular occlusion with Amplatzer Vascular Plug or Amplatzer Canine Ductal Occluder, not applicable for reverse PDA",Not Known,Not Known,"Good if treated early, potentially normal life span; palliative for reverse PDA with a life expectancy of 5 to 6 years",
Pemphigus Foliaceus,Dogs and Cats,Not Known,"Pustules, crusts, and sores on the face, head, ears, back, and paws; fever; lethargy; limping; itching",Not Known,Not Known,"Skin cytology, Skin biopsy",Autoimmune disease,Medications to reduce immune system's attack on the skin,Corticosteroids and other immune-modulating medications,Not Applicable,Not Applicable,Not Known,Varies; ongoing medication may be necessary to prevent recurrence,
Perianal Fistulae in Dogs,Dog,Colitis,"Licking under the tail, Scooting, Pain when sitting or raising the tail, Deep open crevices around the anal sphincter, Oozing pus, Straining to defecate, Mucous diarrhea",German Shepherd,"Genetic predisposition, Immune-mediated basis","Physical exam, Odor, Pain on tail lifting, Association with colitis",Immune-mediated inflammation around the anal sphincter,"Immunosuppressive drugs, Cyclosporine, Tacrolimus, Antibiotics, Stool softeners, Limited ingredient diet","Cyclosporine, Tacrolimus, Prednisolone, Azathioprine, Antibiotics","Surgery if immune suppression fails, Anal gland removal, Tail amputation, Chemical cauterization, Laser therapy",Varies,Not Specified,"Improvement within first two weeks of immunosuppressive treatment, Maintenance therapy may be needed",
Pituitary Macroadenoma in Cushing's Syndrome,Dog,"Cushing's disease, Neurologic disease","Subtle changes in behavior, Listlessness, Poor appetite, Neurologic signs (e.g., walking in circles, seizures)","Brachycephalic breeds (e.g., Boxers, Pugs)",Having pituitary-dependent Cushing’s disease,Brain imaging (CT or MRI),Pituitary tumor over-secreting hormonal messages to the adrenal glands,Radiation therapy,Continued treatment for Cushing's disease may be necessary,Not typically feasible in Dogs,Varies,Early detection through brain imaging,Good with early treatment; recurrence of tumor possible,
Pyelonephritis in Dogs and Cats,Dogs and Cats,"Bacterial endocarditis, Diskospondylitis, Abscesses, Dental disease",Frequently shows no symptoms until the signs become severe,Not Known,"Urinary stasis, Urethral obstruction, Kidney stones, Trauma, Depressed immunity","Blood work, Urinalysis, Urine sedimentation, X-rays and ultrasound of the kidney, Urine culture, Other specific kidney tests",Bacterial invasion,Long-term antibiotic therapy,Antibiotics chosen by sensitivity testing,Not Known,Not Known,Not Known,"Fair to good, varies; poorer in cases involving the renal medulla, endocrine disease, persistent urinary abnormalities, or progressive renal disease",
Pyometra,Dog,Cystic Endometrial Hyperplasia,"Older female, poor appetite, vomiting, excessive drinking, smelly vaginal discharge (open), or no discharge (closed).",Not Known,"Older females, not spayed, finished a heat cycle in the previous 1 to 2 months.","Lab work, radiographs, ultrasound.","Bacteria ascend from the vagina leading to infection, hormonal cycles increase risk.",Surgical removal of the uterus and ovaries.,"Antibiotics, pain relievers post-operatively.","Removal of uterus and ovaries, careful to prevent spill of infected material.",A few days post-operation.,Spaying.,Good with timely treatment. Emergency surgery can be life-saving.,
Pyothorax,Dogs and Cats,"Pneumothorax, Hemothorax, Chylothorax, Hydrothorax","Labored, rapid, and shallow breathing, fever, listlessness, not eating, using abdominal muscles for breathing.",Not Known,Cats: Bite wounds. Dogs: Inhaled foreign bodies like foxtails.,"Chest tapping with a needle and pus extraction, pus culture.","In cats, usually from bite wounds; in Dogs, from inhaled plant material leading to bacterial infection.","Aggressive treatment with in-dwelling chest tubes for drainage, intravenous antibiotics.","Intravenous antibiotics targeting Dogs and Cats anaerobic and aerobic bacteria, possibly followed by oral antibiotics for several weeks.","Advanced imaging to determine need for surgery, removal of foreign bodies or abscessed lung lobes if necessary.","Requires 24-hour hospitalization initially, then several weeks of medication at home.",Not Known,"Reasonably good with aggressive treatment. Recurrence rates 0-14% in cats, 11.6% in Dogs. Positive outcomes 58-100%.",
Pythiosis,Dogs and Cats,"Oomycosis, Lagenidiosis, Swamp Cancer, Bursatti, Leeches","Dogs: Cutaneous, gastrointestinal, or multisystemic form, non-healing wounds, ulcerated lumps, fistulas, pruritus. Cats: Non-healing wounds, less invasive skin lesions, pruritus. Horses: Large nodules or subcutaneous swellings, itchy.",Not Known,Exposure to stagnant water or grasses exposed to stagnant water in tropical and sub-tropical climates.,"Histopathology tests, PCR and ELISA assays. Difficult to culture Pythium.",Fungal-like aquatic organism Pythium insidiosum.,Surgical removal of affected tissue with wide margins. Limb amputation may be necessary.,"Dogs: Itraconazole, terbinafine for 6-9 months, amphotericin B lipid complex. Cats: Rarely effective.",Complete excision of lesions or amputation. Gastrointestinal: often too extensive for complete resection.,Not Known,Avoiding exposure to stagnant water or grasses exposed to it in risk areas.,"Poor, especially without early detection. 20-25% of Dogs show positive response to treatment. Fatal if lesions cannot be completely excised or if multisystemic.",
Recessed Vulva in Dogs,Dog,Not Known,"Urinary tract infections, vaginitis, perivulvar dermatitis","Medium to large-sized breeds, most often in obese Dogs","Obesity, excess skin folds, possibly genetic",Physical examination,"Excess skin folds over the vulva, potentially genetic issue","Medicated shampoos or wipes, weight loss in overweight Dogs, possibly waiting for a heat cycle in unspayed Dogs","Analgesics for pain, antibiotics to prevent infection",Vulvoplasty,Not Known,Not Known,"Excellent, most owners are quite pleased",
Rectal Prolapse,Dogs and Cats,Not Known,"Straining to poop, unusual change in poop, prolapsed tissue visible from the anus",Not Known,"Intestinal worms, dehydration, constipation, diarrhea or loose stool, intestinal blockage such as a tumor or foreign object","Physical examination, rectal exam, fecal sample, x-rays/abdominal ultrasound",Straining leading to weakening of the structures keeping the rectum in place,"Cleaning the area, replacing prolapsed tissue, possibly applying medications or solutions, use of 'purse-string' suture, antibiotics, pain medication, e-collar","Antibiotics, pain medications, stool softeners","Resection and anastomosis, colopexy",Not Known,"Preventing the causes of straining, monitoring and early treatment of intestinal issues",Most pets improve and do not continue to have issues once healed,
"Renal Anemia, or Inadequate Red Blood Cells",Dogs and Cats,Not Known,"Lack of energy, poor appetite, pallor",Not Known,Kidney disease,"Packed cell volume test (PCV), hematocrit (HCT)","Bone marrow suppression, bleeding","Erythropoietin injections, control of phosphorus levels, hemodilution management","Erythropoietin or darbepoetin injections, iron supplements, antibiotics, antacids, gastroprotection",Not Known,Not Known,Not Known,Dependent on management of underlying kidney disease and anemia,
Rocky Mountain Spotted Fever in Dogs,Dog,Not Known,"Fever, Lethargy, Inappetence, Pain, Eye/nose discharge, Nosebleed, Cough, Enlarged lymph nodes, Lameness, Skin necrosis/sloughing, Hemorrhage, Peripheral swelling, Petechial hemorrhages, Central nervous system signs",All breeds,"Bite from infected ticks (Rocky Mountain wood tick, American Dog tick, Brown Dog tick)","Blood tests, Coagulation profiles, Blood chemical analysis, Serology, Paired titers, Response to antibiotic therapy",Rickettsia rickettsii infection transmitted by tick bite,"Antibiotics, Blood transfusions, Supportive therapies","Tetracycline, Doxycycline, Minocycline, Chloramphenicol (for pregnant bitches or young puppies), Fluoroquinolones (restricted use)",Not Applicable,Varies; depends on severity and response to treatment,"Limit exposure to ticks, Inspect Dog for ticks, Use tick control products",Excellent with early diagnosis and treatment; guarded with complications,
Salivary Mucocele in Dogs and Cats,Dogs and Cats,Not Known,"Swelling under the lower jaw or under the tongue, Trouble eating, swallowing, or breathing, Tumor-like bulge or bubble on the floor of the mouth, Swelling below the eye, Bulge in the roof of the mouth",All breeds,Damage to the salivary gland or duct,"Aspiration of fluid and cells, Microscopic examination of salivary fluid",Leaking of saliva from a damaged salivary gland or duct into surrounding tissues,"Surgery to remove the diseased gland or create a new duct opening, Draining the mucocele, Antibiotics and anti-inflammatory medications if needed","Antibiotics, Anti-inflammatory medications","Removal of the diseased gland, Creation of a new duct opening",Varies; depends on surgery and recovery,Not Known,"Good, unlikely for recurrence after successful surgery",
Salmon Poisoning in Dogs,Dog,Not Known,"Fever, Nausea, Vomiting, Bloody diarrhea, Weight loss, Ascites, Nasal and eye discharge, Enlarged lymph nodes, Tachypnea, Dyspnea, Tachycardia, Twitching, Seizures, Generalized lymph node enlargement",All breeds,"Consumption of raw or undercooked fish (salmon, trout, steelhead) or Pacific Giant Salamanders containing the fluke Nanophyetus salmincola infected with Neorickettsia helminthoeca","Identification of the fluke’s ova in feces, Lymph node cytology, Histopathology, History of access to raw fish",Infection by Neorickettsia helminthoeca through ingestion of infected raw or undercooked fish or salamanders,"Antibiotics, Fluid therapy, Blood transfusions, Antiemetics, Antidiarrheals, Anticestodals",Antibiotic therapy,Not Applicable,Not Known,"Avoiding consumption of raw or smoked-raw fish (salmon, trout, steelhead), or Pacific Giant Salamanders","Good with prompt antibiotic therapy; without treatment, high mortality rate within 7-10 days of onset",
Sarcoptic Mange in Dogs,Dog,Not Known,"Itching, Redness, Skin crusts, Hair loss, mainly at the tips of the ears, elbows, hocks, chest, and belly",All breeds,Contact with infected animals,"Skin scrapings, Microscopic examination",Sarcoptes scabiei var canis mite infestation,Prescription medicines to kill mites,"Dips (lime sulfur, amitraz), Spot-ons (moxidectin, selamectin), Oral pills (afoxolaner, milbemycin oxime, sarolaner)",Not Applicable,Not Known,"Isolation from infected animals, Treatment of all Dogs in household, Cleaning of living quarters",Good with appropriate treatment,
Schnauzer Comedone Syndrome,Dog,"Demodicosis, Demodectic mange","Multiple comedones (blackheads) on the back and neck, Small skin bumps","Schnauzers, Cairn Terriers, Other rough-coated terriers",Genetic predisposition,"Skin and other samples, Skin culture for infected comedones","Unknown, possibly genetic",Topical therapy (medicated antiseborrheic shampoo or ointment),Antibiotics for infected comedones,Not Applicable,Not Known,Not Known,Cannot be cured but can be managed with treatment,
Scottie Cramp in Dogs,Dog,Not Known,"Stiff limbs, Muscle spasms, Arching spine, Bunny hopping gait, Falling over","Scottish Terriers, Scottish Terrier mixes, West Highland White Terriers, Cairn Terriers, Cesky Terriers",Genetic serotonin deficiency,"Normal blood and imaging tests, Description and video recordings of episodes, Electromyography (EMG)",Genetic serotonin deficiency,"Monitoring, Reduction of stress and excitement, Appropriate level of exercise","Fluoxetine, Diazepam, Chlorpromazine, Acepromazine",Not Applicable,Not Known,Not breeding affected Dogs,Good for mildly affected Dogs with lifelong treatment,
Seasonal Flank Alopecia in Dogs,Dog,Not Known,"Hair loss in the flank area on a seasonal basis, Darkly pigmented skin in areas of hair loss, Symmetrical hair loss on Dogs and Cats flanks, Possible skin infection in balding areas","Boxers, Airedales, English BullDogs","Genetic predisposition, Effects of daylight cycle and light exposure on the pineal gland","Clinical appearance, History of recurrence, Skin biopsy (if needed)","Believed to be related to the effects of daylight cycle and light exposure on the pineal gland, Genetic factors","Melatonin supplements, Leaving it untreated as it is a cosmetic issue","Oral melatonin, Subcutaneous melatonin implants",Not Applicable,Not Known,May use melatonin supplements before the season in which hair loss is expected,"Cosmetic issue, varies with treatment response",
Sebaceous Adenitis in Dogs,Dog,"Staphylococcal pyoderma, Malassezia skin infections","Excessive scaling and flaking of the skin, Dry skin, Reddened areas of skin inflammation, Odor, Worse symptoms in skin folds, Fine white dandruff on the head and ears, Scaling areas round or S-shaped, Dull and brittle coat, Reddish tint to the coat, Bald spots","Standard Poodle, Akita, Chow Chow, Samoyed, Viszla, Havanese",Genetic predisposition,Skin biopsy,Inflammation of the sebaceous glands leading to their destruction,"Topical treatments, Oral supplements, Oral medication","Omega-3 fatty acids, Cyclosporine, Doxycycline, Vitamin A (previously popular), Synthetic retinoids (limited availability)",Not Applicable,Not Known,Not Known,Varies; dependent on the stage of disease at diagnosis and response to treatment,
Seborrhea in Dogs,Dog,"Staphylococcal pyoderma, Malassezia skin infections, Hormonal imbalances, Allergies, Parasites, Fungal or bacterial skin infections","Excessive scaling and flaking of the skin, Dry or oily and greasy skin, Reddened or pigmented areas of skin inflammation, Odor, Worse symptoms in skin folds","Cocker Spaniels, West Highland White Terriers, Basset Hounds","Genetics (for primary seborrhea), Underlying diseases (for secondary seborrhea), Environmental factors","Clinical examination, Diagnosis of underlying disease for secondary seborrhea","Genetic (primary seborrhea), Underlying disease (secondary seborrhea)","Antiseborrheic shampoos, Management of underlying disease for secondary seborrhea","Retinoids for primary seborrhea, Medications for underlying diseases in secondary seborrhea",Not Applicable,Not Known,"Regular use of antiseborrheic shampoos, Management of environmental factors","Management of symptoms is possible, No cure for primary seborrhea",
Seizure Disorders in Dogs,Dog,"Epilepsy, Brain tumors, Canine distemper, Toxoplasmosis, Neosporosis","Collapse, Involuntary movement, Loss of consciousness, Daze and disorientation post-seizure, Increased heart rate, Fever, Muscle tremors, Difficulty walking, Agitation, Vocalization","All breeds, with certain purebreds like Schnauzers, Basset Hounds, Collies, Cocker Spaniels, Labrador Retrievers, Golden Retrievers having a higher predisposition","Genetic factors, Brain infections, Trauma, Metabolic problems, Toxicity","Clinical observation, History, Blood tests, MRI, CT scans","Excessive electrical activity in the cerebral cortex, Metabolic problems, Brain abnormalities, Genetic epilepsy","Selegiline, Dietary changes, SAM-e, Environmental enrichment, Cerebral perfusion improvements","Phenobarbital, Potassium Bromide, Levetiracetam, Zonisamide",Not Applicable,Depends on severity and underlying cause,Not Known,"Varies; depends on underlying cause, severity, and response to treatment",
Senility in Dogs,Dog,Cognitive Dysfunction Syndrome (CDS),"Difficulties with spatial orientation, Problems with memory, learning, housetraining, Difficulty in recognizing and reacting to human family members, House-training problems, Apparent memory loss, Disorientation, Confusion, Staring, Wandering, Getting stuck in corners, Sleep disturbances, Restlessness, Barking, Separation anxiety, Panting, Drooling, Obsessive licking",All breeds,Aging,"Clinical observation, History of behavioral changes","Brain atrophy, Increase in beta amyloid plaques, Micro-hemorrhages and infarcts, Changes in neurotransmitter levels","Selegiline, Dietary changes, SAM-e, Environmental enrichment, Cerebral perfusion improvements","L-Deprenyl (Anipryl), SAM-e supplements, Drugs that increase cerebral perfusion (e.g., Propentofylline, Nicergoline)",Not Applicable,Not Known,"Environmental enrichment, Proper care to manage cognitive changes",Varies; early treatment may improve quality of life,
Senior Dog Health Issues,Dog,"Dementia, Arthritis, Cancer, Heart disease, Kidney disease, Liver disease, Dental disease","Increased panting or difficulty breathing, Vomiting, Diarrhea, Change in appetite or thirst, Change in frequency of urination, 'Accidents' in the house, Pain, Aggression, Decreased interaction, Inappropriate vocalization, Changes in sleep/wake cycle, Restlessness, Disorientation, Confusion, Anxiety, House-soiling, Altered appetite, Irritability",All breeds,Aging,"Veterinary examination, Diagnostic tests",Natural aging process,"Varies based on specific health issue, Regular veterinary check-ups","Medications for specific conditions, Nutritional support, Complementary therapies",Based on specific health issue,Not Known,"Regular play and exercise, Appropriate nutrition, Oral hygiene, Regular veterinary check-ups",Varies based on specific health issue and intervention,
